Car Count,Vehicle ID,Name,Model,Year,Stock Number,Mileage,Fuel Type,MPG City,MPG Highway,Vehicle Type,Price
80,5N1AT3BB9MC738438,Nissan,Nissan Rogue,2021,8CT5FR,75715,Gasoline,25,32,Crossover,"22,499"
81,1N4AA6CV1LC370149,Nissan,Nissan Maxima,2020,7T8C54,64741,Gasoline,20,30,Sedan,"22,999"
82,5N1AT3BB8MC704331,Nissan,Nissan Rogue,2021,8CC05B,65145,Gasoline,25,32,Crossover,"23,499"
83,3GKALVEV2ML300195,GMC,GMC Terrain,2021,7T7HFT,67672,Gasoline,25,28,Crossover,"23,999"
84,1C4PJMDX5LD651714,Jeep,Jeep Cherokee,2020,7T56BD,69647,Gasoline,19,27,Crossover,"23,999"
85,KM8J33AL6LU224842,Hyundai,Hyundai Tucson,2020,7VKQ9V,71152,Gasoline,22,28,Crossover,"23,999"
86,5N1AT3BB3MC782371,Nissan,Nissan Rogue,2021,8C4HCG,63460,Gasoline,25,32,Crossover,"24,499"
87,1FMCU9J97KUB36393,Ford,Ford Escape,2019,8D2K6G,41744,Gasoline,21,27,Crossover,"24,999"
88,2C3CCABG1MH525594,Chrysler,Chrysler 300,2021,7V67YQ,66057,Gasoline,19,30,Sedan,"24,999"
89,1HGCV1F5XKA044318,Honda,Honda Accord Sedan,2019,8D3DWR,67178,Gasoline,30,38,Sedan,"24,999"
90,1GNEVGKW4KJ307712,Chevrolet,Chevrolet Traverse,2019,8F2V20,66431,Gasoline,17,25,Sport Utility,"25,999"
91,2C4RC1BG0MR585060,Chrysler,Chrysler Pacifica,2021,7VB29M,73949,Gasoline,19,28,Van / Minivan,"25,999"
92,ZARFAEEN7J7577647,Alfa Romeo,Alfa Romeo Giulia,2018,8FBK31,36972,Gasoline,23,31,Sedan,"26,999"
93,2C4RC1L78MR576914,Chrysler,Chrysler Pacifica,2021,7V0QP0,68163,Hybrid,0,0,Van / Minivan,"28,999"
94,1C6RR7TT0MS517196,RAM,RAM 1500 Classic,2021,7VKNS7,60899,Gasoline,15,21,Truck,"29,999"
95,1FM5K8F84KGB42367,Ford,Ford Explorer,2019,7RR3Y9,66089,Gasoline,18,25,Crossover,"29,999"
96,5UXTY5C09M9F59287,BMW,BMW X3,2021,7V2SBP,62295,Gasoline,23,29,Sport Utility,"30,999"
97,1C4RJFBG1LC326751,Jeep,Jeep Grand Cherokee,2020,8FYB5C,30211,Gasoline,18,25,Crossover,"31,999"
